A1BG	alpha-1-B glycoprotein
CALU	calumenin
CALY	calcyon neuron specific vesicular protein
CAMK1	calcium/calmodulin dependent protein kinase I
CAMK1D	calcium/calmodulin dependent protein kinase ID
CAMK1G	calcium/calmodulin dependent protein kinase IG
CAMK2A	calcium/calmodulin dependent protein kinase II alpha
CAMK2B	calcium/calmodulin dependent protein kinase II beta
CAMK2D	calcium/calmodulin dependent protein kinase II delta
CAMK2G	calcium/calmodulin dependent protein kinase II gamma
CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1
CAMK2N2	calcium/calmodulin dependent protein kinase II inhibitor 2
CAMK4	calcium/calmodulin-dependent protein kinase IV
CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1
CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2
CAMKMT	calmodulin-lysine N-methyltransferase
CAMKV	CaM kinase-like vesicle-associated
CAMLG	calcium modulating ligand
CAMP	cathelicidin antimicrobial peptide
CAMSAP1	calmodulin regulated spectrin associated protein 1
CAMSAP2	calmodulin regulated spectrin associated protein family member 2
CAMSAP3	calmodulin regulated spectrin associated protein family member 3
CAMTA1	calmodulin binding transcription activator 1
CAMTA1-IT1	CAMTA1 intronic transcript 1
CAMTA2	calmodulin binding transcription activator 2
CAND1	cullin-associated and neddylation-dissociated 1
CAND2	cullin-associated and neddylation-dissociated 2 (putative)
CANDN1	candidiasis, nail 1 (with ICAM1 deficiency)
CANT1	calcium activated nucleotidase 1
CANX	calnexin
CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)
CAP1P1	CAP1 pseudogene 1
CAP1P2	CAP1 pseudogene 2
CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)
CAP2P1	CAP, adenylate cyclase-associated protein, 2 (yeast) pseudogene 1
CAPG	capping actin protein, gelsolin like
CAPN1	calpain 1
CAPN2	calpain 2
CAPN3	calpain 3
CAPN5	calpain 5
CAPN6	calpain 6
CAPN7	calpain 7
CAPN8	calpain 8
CAPN9	calpain 9
CAPN10	calpain 10
CAPN10-AS1	CAPN10 antisense RNA 1 (head to head)
CAPN11	calpain 11
CAPN12	calpain 12
CAPN13	calpain 13
CAPN14	calpain 14
CAPN15	calpain 15
CAPNS1	calpain small subunit 1
CAPNS1P1	calpain small subunit 1 pseudogene 1
CAPNS2	calpain small subunit 2
CAPRIN1	cell cycle associated protein 1
CAPRIN2	caprin family member 2
CAPS	calcyphosine
CAPS2	calcyphosine 2
CAPSL	calcyphosine like
CAPZA1	capping actin protein of muscle Z-line alpha subunit 1
CAPZA1P	capping actin protein of muscle Z-line alpha subunit 1 pseudogene
CAPZA2	capping actin protein of muscle Z-line alpha subunit 2
CAPZA3	capping actin protein of muscle Z-line alpha subunit 3
CAPZB	capping actin protein of muscle Z-line beta subunit
CARD6	caspase recruitment domain family member 6
CARD8	caspase recruitment domain family member 8
CARD8-AS1	CARD8 antisense RNA 1
CARD9	caspase recruitment domain family member 9
CARD10	caspase recruitment domain family member 10
CARD11	caspase recruitment domain family member 11
CARD14	caspase recruitment domain family member 14
CARD16	caspase recruitment domain family member 16
CARD17	caspase recruitment domain family member 17
CARD18	caspase recruitment domain family member 18
CARD19	caspase recruitment domain family member 19
CARF	calcium responsive transcription factor
CARHSP1	calcium regulated heat stable protein 1
CARM1	coactivator associated arginine methyltransferase 1
CARM1P1	coactivator associated arginine methyltransferase 1 pseudogene 1
CARMN	cardiac mesoderm enhancer-associated non-coding RNA
CARNMT1	carnosine N-methyltransferase 1
CARNS1	carnosine synthase 1
CARS	cysteinyl-tRNA synthetase
CARS-AS1	CARS antisense RNA 1
CARS2	cysteinyl-tRNA synthetase 2, mitochondrial (putative)
CARSP1	cysteinyl-tRNA synthetase pseudogene 1
CARSP2	cysteinyl-tRNA synthetase pseudogene 2
CARTPT	CART prepropeptide
CASC1	cancer susceptibility candidate 1
CASC2	cancer susceptibility candidate 2 (non-protein coding)
CASC3	cancer susceptibility candidate 3
CASC4	cancer susceptibility candidate 4
CASC4P1	cancer susceptibility candidate 4 pseudogene 1
CASC5	cancer susceptibility candidate 5
CASC6	cancer susceptibility candidate 6 (non-protein coding)
CASC7	cancer susceptibility candidate 7 (non-protein coding)
CASC8	cancer susceptibility candidate 8 (non-protein coding)
CASC9	cancer susceptibility candidate 9 (non-protein coding)
CASC10	cancer susceptibility candidate 10
CASC11	cancer susceptibility candidate 11 (non-protein coding)
CASC15	cancer susceptibility candidate 15 (non-protein coding)
CASC16	cancer susceptibility candidate 16 (non-protein coding)
CASC17	cancer susceptibility candidate 17 (non-protein coding)
CASC18	cancer susceptibility candidate 18 (non-protein coding)
CASC19	cancer susceptibility candidate 19 (non-protein coding)
CASC20	cancer susceptibility candidate 20 (non-protein coding)
CASC21	cancer susceptibility candidate 21 (non-protein coding)
CASC22	cancer susceptibility candidate 22 (non-protein coding)
CASC23	cancer susceptibility candidate 23 (non-protein coding)
CASD1	CAS1 domain containing 1
CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)
CASK-AS1	CASK antisense RNA 1
CASKIN1	CASK interacting protein 1
CASKIN2	CASK interacting protein 2
CASKP1	calcium/calmodulin-dependent serine protein kinase (MAGUK family) pseudogene 1
CASP1	caspase 1
CASP1P1	caspase 1 pseudogene 1
CASP1P2	caspase 1 pseudogene 2
CASP1P3	caspase 1 pseudogene 3
CASP2	caspase 2
CASP3	caspase 3
CASP3P1	caspase 3 pseudogene 1
CASP4	caspase 4
CASP5	caspase 5
CASP6	caspase 6
CASP7	caspase 7
CASP8	caspase 8
CASP8AP2	caspase 8 associated protein 2
CASP9	caspase 9
CASP10	caspase 10
CASP12	caspase 12 (gene/pseudogene)
CASP14	caspase 14
CASP16P	caspase 16, pseudogene
CASQ1	calsequestrin 1
CASQ2	calsequestrin 2
CASR	calcium sensing receptor
CASS4	Cas scaffolding protein family member 4
CAST	calpastatin
CASZ1	castor zinc finger 1
CAT	catalase
CATIP	ciliogenesis associated TTC17 interacting protein
CATIP-AS1	CATIP antisense RNA 1
CATIP-AS2	CATIP antisense RNA 2
CATR1	CATR tumorigenicity conversion 1
CATSPER1	cation channel sperm associated 1
CATSPER2	cation channel sperm associated 2
CATSPER2P1	cation channel sperm associated 2 pseudogene 1
CATSPER3	cation channel sperm associated 3
CATSPER4	cation channel sperm associated 4
CATSPERB	cation channel sperm associated auxiliary subunit beta
CATSPERD	cation channel sperm associated auxiliary subunit delta
CATSPERG	cation channel sperm associated auxiliary subunit gamma
CAV1	caveolin 1
CAV2	caveolin 2
CAV3	caveolin 3
CBARP	CACN beta subunit associated regulatory protein
CBFA2T2	CBFA2/RUNX1 translocation partner 2
CBFA2T3	CBFA2/RUNX1 translocation partner 3
CBFB	core-binding factor, beta subunit
CBL	Cbl proto-oncogene, E3 ubiquitin protein ligase
CBLB	Cbl proto-oncogene B, E3 ubiquitin protein ligase
CBLC	Cbl proto-oncogene C, E3 ubiquitin protein ligase
CBLL1	Cbl proto-oncogene like 1, E3 ubiquitin protein ligase
CBLN1	cerebellin 1 precursor
CBLN2	cerebellin 2 precursor
CBLN3	cerebellin 3 precursor
CBLN4	cerebellin 4 precursor
CBR1	carbonyl reductase 1
CBR3	carbonyl reductase 3
CBR3-AS1	CBR3 antisense RNA 1
CBR4	carbonyl reductase 4
CBS	cystathionine-beta-synthase
CBSL	cystathionine-beta-synthase like
CBWD1	COBW domain containing 1
CBWD2	COBW domain containing 2
CBWD3	COBW domain containing 3
CBWD4P	COBW domain containing 4 pseudogene
CBWD5	COBW domain containing 5
CBWD6	COBW domain containing 6
CBWD7	COBW domain containing 7
CBX1	chromobox 1
CBX1P1	chromobox 1 pseudogene 1
CBX1P2	chromobox 1 pseudogene 2
CBX1P3	chromobox 1 pseudogene 3
CBX1P4	chromobox 1 pseudogene 4
CBX1P5	chromobox 1 pseudogene 5
CBX2	chromobox 2
CBX3	chromobox 3
CBX3P1	chromobox 3 pseudogene 1
CBX3P2	chromobox 3 pseudogene 2
CBX3P3	chromobox 3 pseudogene 3
CBX3P4	chromobox 3 pseudogene 4
CBX3P5	chromobox 3 pseudogene 5
CBX3P6	chromobox 3 pseudogene 6
CBX3P7	chromobox 3 pseudogene 7
CBX3P8	chromobox 3 pseudogene 8
CBX3P9	chromobox 3 pseudogene 9
CBX4	chromobox 4
CBX5	chromobox 5
CBX5P1	chromobox 5 pseudogene 1
CBX6	chromobox 6
CBX7	chromobox 7
CBX8	chromobox 8
CBY1	chibby homolog 1 (Drosophila)
CBY3	chibby homolog 3 (Drosophila)
CC2D1A	coiled-coil and C2 domain containing 1A
CC2D1B	coiled-coil and C2 domain containing 1B
CC2D2A	coiled-coil and C2 domain containing 2A
CC2D2B	coiled-coil and C2 domain containing 2B
CCA1	cataract, congenital, cerulean type, 1
CCAL1	chondrocalcinosis 1 (calcium pyrophosphate-deposition disease, early onset osteoarthritis)
CCAR1	cell division cycle and apoptosis regulator 1
CCAR2	cell cycle and apoptosis regulator 2
CCAT1	colon cancer associated transcript 1 (non-protein coding)
CCAT2	colon cancer associated transcript 2 (non-protein coding)
CCBE1	collagen and calcium binding EGF domains 1
CCBL1	cysteine conjugate-beta lyase, cytoplasmic
CCBL2	cysteine conjugate-beta lyase 2
CCDC3	coiled-coil domain containing 3
CCDC6	coiled-coil domain containing 6
CCDC7	coiled-coil domain containing 7
CCDC8	coiled-coil domain containing 8
CCDC9	coiled-coil domain containing 9
CCDC11P1	coiled-coil domain containing 11 pseudogene 1
CCDC12	coiled-coil domain containing 12
CCDC13	coiled-coil domain containing 13
CCDC13-AS1	CCDC13 antisense RNA 1
CCDC14	coiled-coil domain containing 14
CCDC15	coiled-coil domain containing 15
CCDC17	coiled-coil domain containing 17
CCDC18	coiled-coil domain containing 18
CCDC18-AS1	CCDC18 antisense RNA 1
CCDC22	coiled-coil domain containing 22
CCDC24	coiled-coil domain containing 24
CCDC25	coiled-coil domain containing 25
CCDC26	CCDC26 long non-coding RNA
CCDC27	coiled-coil domain containing 27
CCDC28A	coiled-coil domain containing 28A
CCDC28B	coiled-coil domain containing 28B
CCDC30	coiled-coil domain containing 30
CCDC33	coiled-coil domain containing 33
CCDC34	coiled-coil domain containing 34
CCDC34P1	coiled-coil domain containing 34 pseudogene 1
CCDC36	coiled-coil domain containing 36
CCDC37-AS1	CCDC37 antisense RNA 1 (head to head)
CCDC38	coiled-coil domain containing 38
CCDC39	coiled-coil domain containing 39
CCDC39-AS1	CCDC39 antisense RNA 1
CCDC40	coiled-coil domain containing 40
CCDC42	coiled-coil domain containing 42
CCDC43	coiled-coil domain containing 43
CCDC47	coiled-coil domain containing 47
CCDC50	coiled-coil domain containing 50
CCDC51	coiled-coil domain containing 51
CCDC53	coiled-coil domain containing 53
CCDC54	coiled-coil domain containing 54
CCDC57	coiled-coil domain containing 57
CCDC58	coiled-coil domain containing 58
CCDC58P1	coiled-coil domain containing 58 pseudogene 1
CCDC58P2	coiled-coil domain containing 58 pseudogene 2
CCDC58P3	coiled-coil domain containing 58 pseudogene 3
CCDC58P4	coiled-coil domain containing 58 pseudogene 4
CCDC58P5	coiled-coil domain containing 58 pseudogene 5
CCDC59	coiled-coil domain containing 59
CCDC60	coiled-coil domain containing 60
CCDC61	coiled-coil domain containing 61
CCDC62	coiled-coil domain containing 62
CCDC63	coiled-coil domain containing 63
CCDC64	coiled-coil domain containing 64
CCDC64B	coiled-coil domain containing 64B
CCDC65	coiled-coil domain containing 65
CCDC66	coiled-coil domain containing 66
CCDC67	coiled-coil domain containing 67
CCDC68	coiled-coil domain containing 68
CCDC69	coiled-coil domain containing 69
CCDC70	coiled-coil domain containing 70
CCDC71	coiled-coil domain containing 71
CCDC71L	coiled-coil domain containing 71-like
CCDC73	coiled-coil domain containing 73
CCDC74A	coiled-coil domain containing 74A
CCDC74B	coiled-coil domain containing 74B
CCDC74BP1	coiled-coil domain containing 74B pseudogene 1
CCDC75P1	coiled-coil domain containing 75 pseudogene 1
CCDC77	coiled-coil domain containing 77
CCDC78	coiled-coil domain containing 78
CCDC79	coiled-coil domain containing 79
CCDC80	coiled-coil domain containing 80
CCDC81	coiled-coil domain containing 81
CCDC82	coiled-coil domain containing 82
CCDC83	coiled-coil domain containing 83
CCDC84	coiled-coil domain containing 84
CCDC85A	coiled-coil domain containing 85A
CCDC85B	coiled-coil domain containing 85B
CCDC85C	coiled-coil domain containing 85C
CCDC86	coiled-coil domain containing 86
CCDC87	coiled-coil domain containing 87
CCDC88A	coiled-coil domain containing 88A
CCDC88B	coiled-coil domain containing 88B
CCDC88C	coiled-coil domain containing 88C
CCDC89	coiled-coil domain containing 89
CCDC90AP1	coiled-coil domain containing 90A pseudogene 1
CCDC90B	coiled-coil domain containing 90B
CCDC91	coiled-coil domain containing 91
CCDC92	coiled-coil domain containing 92
CCDC92B	coiled-coil domain containing 92B
CCDC93	coiled-coil domain containing 93
CCDC94	coiled-coil domain containing 94
CCDC96	coiled-coil domain containing 96
CCDC97	coiled-coil domain containing 97
CCDC102A	coiled-coil domain containing 102A
CCDC102B	coiled-coil domain containing 102B
CCDC103	coiled-coil domain containing 103
CCDC105	coiled-coil domain containing 105
CCDC106	coiled-coil domain containing 106
CCDC107	coiled-coil domain containing 107
CCDC109B	coiled-coil domain containing 109B
CCDC110	coiled-coil domain containing 110
CCDC112	coiled-coil domain containing 112
CCDC113	coiled-coil domain containing 113
CCDC114	coiled-coil domain containing 114
CCDC115	coiled-coil domain containing 115
CCDC116	coiled-coil domain containing 116
CCDC117	coiled-coil domain containing 117
CCDC120	coiled-coil domain containing 120
CCDC121	coiled-coil domain containing 121
CCDC122	coiled-coil domain containing 122
CCDC124	coiled-coil domain containing 124
CCDC125	coiled-coil domain containing 125
CCDC126	coiled-coil domain containing 126
CCDC127	coiled-coil domain containing 127
CCDC129	coiled-coil domain containing 129
CCDC130	coiled-coil domain containing 130
CCDC134	coiled-coil domain containing 134
CCDC136	coiled-coil domain containing 136
CCDC137	coiled-coil domain containing 137
CCDC137P	coiled-coil domain containing 137 pseudogene
CCDC138	coiled-coil domain containing 138
CCDC140	coiled-coil domain containing 140
CCDC141	coiled-coil domain containing 141
CCDC142	coiled-coil domain containing 142
CCDC144A	coiled-coil domain containing 144A
CCDC144B	coiled-coil domain containing 144B (pseudogene)
CCDC144CP	coiled-coil domain containing 144C, pseudogene
CCDC144NL	coiled-coil domain containing 144 family, N-terminal like
CCDC144NL-AS1	CCDC144NL antisense RNA 1
CCDC146	coiled-coil domain containing 146
CCDC148	coiled-coil domain containing 148
CCDC148-AS1	CCDC148 antisense RNA 1
CCDC149	coiled-coil domain containing 149
CCDC150	coiled-coil domain containing 150
CCDC150P1	coiled-coil domain containing 150 pseudogene 1
CCDC151	coiled-coil domain containing 151
CCDC152	coiled-coil domain containing 152
CCDC153	coiled-coil domain containing 153
CCDC154	coiled-coil domain containing 154
CCDC155	coiled-coil domain containing 155
CCDC157	coiled-coil domain containing 157
CCDC158	coiled-coil domain containing 158
CCDC159	coiled-coil domain containing 159
CCDC160	coiled-coil domain containing 160
CCDC162P	coiled-coil domain containing 162, pseudogene
CCDC163P	coiled-coil domain containing 163, pseudogene
CCDC166	coiled-coil domain containing 166
CCDC167	coiled-coil domain containing 167
CCDC168	coiled-coil domain containing 168
CCDC169	coiled-coil domain containing 169
CCDC169-SOHLH2	CCDC169-SOHLH2 readthrough
CCDC170	coiled-coil domain containing 170
CCDC171	coiled-coil domain containing 171
CCDC172	coiled-coil domain containing 172
CCDC173	coiled-coil domain containing 173
CCDC174	coiled-coil domain containing 174
CCDC175	coiled-coil domain containing 175
CCDC177	coiled-coil domain containing 177
CCDC178	coiled-coil domain containing 178
CCDC179	coiled-coil domain containing 179
CCDC180	coiled-coil domain containing 180
CCDC181	coiled-coil domain containing 181
CCDC182	coiled-coil domain containing 182
CCDC183	coiled-coil domain containing 183
CCDC183-AS1	CCDC183 antisense RNA 1
CCDC184	coiled-coil domain containing 184
CCDC185	coiled-coil domain containing 185
CCDC186	coiled-coil domain containing 186
CCDC187	coiled-coil domain containing 187
CCDC188	coiled-coil domain containing 188
CCDC189	coiled-coil domain containing 189
CCDC190	coiled-coil domain containing 190
CCDC191	coiled-coil domain containing 191
CCDC192	coiled-coil domain containing 192
CCEPR	cervical carcinoma expressed PCNA regulatory lncRNA
CCER1	coiled-coil glutamate rich protein 1
CCER2	coiled-coil glutamate rich protein 2
CCHCR1	coiled-coil alpha-helical rod protein 1
CCIN	calicin
CCK	cholecystokinin
CCKAR	cholecystokinin A receptor
CCKBR	cholecystokinin B receptor
CCL1	C-C motif chemokine ligand 1
CCL2	C-C motif chemokine ligand 2
CCL3	C-C motif chemokine ligand 3
CCL3L1	C-C motif chemokine ligand 3 like 1
CCL3L3	C-C motif chemokine ligand 3 like 3
CCL3P1	C-C motif chemokine ligand 3 pseudogene 1
CCL4	C-C motif chemokine ligand 4
CCL4L1	C-C motif chemokine ligand 4 like 1
